title,authors,clean_text,emotion
"What Remains: A Memoir of Fate, Friendship, and Love",Carole Radziwill,remain memoir fate friendship love,love
The Curious Charms of Arthur Pepper,Phaedra Patrick,curious charm arthur pepper,love
The Sandman: The Dream Hunters,"Neil Gaiman, Yoshitaka Amano",sandman dream hunter,surprise
The Stories of John Cheever,John Cheever,story john cheever,surprise
We Never Asked for Wings,Vanessa Diffenbaugh,never ask wing,surprise
Vampire Academy: The Graphic Novel,"Richelle Mead, Emma Vieceli, Leigh Dragoon",vampire academy graphic novel,surprise
A Better World,Marcus Sakey,good world,love
"A Leaf on the Wind of All Hallows (Outlander, #8.5)",Diana Gabaldon,leaf wind hallows outlander,surprise
Best Friends with a Self-Confessed Player,Kirsty Moseley,best friend selfconfessed player,love
Close Range: Wyoming Stories,Annie Proulx,close range wyoming story,surprise
The Mapping of Love and Death,Jacqueline Winspear,mapping love death,love
The Five Love Languages of Children,"Gary Chapman, D. Ross Campbell",five love language child,love
On Becoming a Person:  A Therapist's View of Psychotherapy,"Carl R. Rogers, Peter D. Kramer",become person therapist view psychotherapy,love
I Heard That Song Before,Mary Higgins Clark,hear song,surprise
Don't Let Me Go,Catherine Ryan Hyde,dont let go,surprise
The Paper Girls - Vol 1,"Brian K. Vaughan, Cliff Chiang, Matthew Wilson",paper girl vol,surprise
... Then He Ate My Boy Entracers,Louise Rennison,eat boy entracers,surprise
The Inn At Rose Harbor,Debbie Macomber,inn rise harbor,surprise
The Smartest Guys in the Room: The Amazing Rise and Scandalous Fall of Enron,"Bethany McLean, Peter Elkind",smart guy room amazing rise scandalous fall enron,love
Beneath a Marble Sky,John Shors,beneath marble sky,surprise
"Fables, Volume 8: Wolves","Bill Willingham, Mark Buckingham, Steve Leialoha, Shawn McManus, Andrew Pepoy",fable volume wolf,surprise
Light A Penny Candle,Maeve Binchy,light penny candle,surprise
"Dark Demon (Carpathians, #16)",Christine Feehan,dark demon carpathians,surprise
Someone To Love,Addison Moore,someone love,love
"Dicey's Song (Tillerman Family, #2)",Cynthia Voigt,diceys song tillerman family,surprise
Brave New World Revisited ,Aldous Huxley,brave new world revisit,love
デスノート #8 (Desu Nōto) Mato (的),"Tsugumi Ohba, Takeshi Obata",desu nto mato,love
The Complete Poems: Anne Sexton,"Anne Sexton, Maxine Kumin",complete poem anne sexton,surprise
First Love,"James Patterson, Emily Raymond",first love,love
The Love Song of Miss Queenie Hennessy,Rachel Joyce,love song miss queenie hennessy,love
Henderson the Rain King,"Saul Bellow, Luciano Bianciardi",henderson rain king,surprise
Stay Hungry Stay Foolish,Rashmi Bansal,stay hungry stay foolish,surprise
French Women Don't Get Fat,Mireille Guiliano,french woman dont get fat,surprise
"The Uglies Trilogy (Uglies, #1-3)",Scott Westerfeld,ugli trilogy ugli,surprise
...and that's when it fell off in my hand,Louise Rennison,thats fell hand,love
The Sacred Romance Drawing Closer To The Heart Of God,"John Eldredge, Brent Curtis",sacred romance draw close heart god,love
1Q84 Book 2 [Ichi-kyū-hachi-yon],Haruki Murakami,q book ichikyhachiyon,surprise
Livro do Desassossego,"Fernando Pessoa, Richard Zenith",livro desassossego,surprise
Malcolm X: A Life of Reinvention,Manning Marable,malcolm x life reinvention,surprise
Batman: Batman and Son,"Grant Morrison, Andy Kubert, John Van Fleet, Jesse Delperdang",batman batman son,surprise
A Girl Like You,Gemma Burgess,girl like,surprise
Dragons of Summer Flame,"Margaret Weis, Tracy Hickman",dragon summer flame,surprise
Un Lun Dun,China Miéville,un lun dun,surprise
How to Love,Katie Cotugno,love,love
"The Secret Race: Inside the Hidden World of the Tour de France: Doping, Cover-ups, and Winning at All Costs","Tyler Hamilton, Daniel Coyle",secret race inside hidden world tour de france dope coverups win cost,love
"Shadow's Claim (The Dacians, #1)",Kresley Cole,shadow claim dacians,surprise
That Old Cape Magic,"Richard Russo, Arthur Morey",old cape magic,surprise
Tales of the South Pacific,James A. Michener,tale south pacific,surprise
Darth Vader and Son,Jeffrey Brown,darth vader son,surprise
Den vita lejoninnan,"Henning Mankell, Laurie Thompson",den vita lejoninnan,surprise
First Among Equals,Jeffrey Archer,first among equal,surprise
Le Roi Babar,Jean de Brunhoff,le roi babar,surprise
Život je jinde,"Milan Kundera, Aaron Asher",ivot je jinde,love
Hotel du Lac,Anita Brookner,hotel du lac,surprise
The Persian Pickle Club,Sandra Dallas,persian pickle club,surprise
What I Loved,Siri Hustvedt,love,love
The Lost Years of Merlin,T.A. Barron,lost year merlin,surprise
Sieben Jahre in Tibet,Heinrich Harrer,sieben jahre tibet,surprise
Oogy: The Dog Only a Family Could Love,Larry Levin,oogy dog family could love,love
Almost French: Love and a New Life in Paris,Sarah Turnbull,almost french love new life paris,love
Radiant Angel,Nelson DeMille,radiant angel,love
デスノート #7 (Desu Nōto) Zero (零),"Tsugumi Ohba, Takeshi Obata",desu nto zero,love
Gonzo: The Life of Hunter S. Thompson,"Jann S. Wenner, Corey Seymour",gonzo life hunter thompson,surprise
Memórias Póstumas de Brás Cubas,Machado de Assis,memrias pstumas de br cuba,love
"ttyl (Internet Girls, #1)",Lauren Myracle,ttyl internet girl,surprise
The Wives of Henry VIII,Antonia Fraser,wife henry viii,surprise
The Look of Love,Bella Andre,look love,love
De vita Caesarum ,"Suetonius, Michael Grant, Robert Graves",de vita caesarum,surprise
I Love You Through And Through,"Bernadette Rossetti-Shustak, Caroline Jayne Church",love,love
"Locke & Key, Vol. 6: Alpha & Omega","Joe Hill, Gabriel Rodríguez",locke key vol alpha omega,surprise
Empire of the Sun,J.G. Ballard,empire sun,surprise
Dark Star Safari ,Paul Theroux,dark star safari,surprise
"The Rainbow Comes and Goes: A Mother and Son On Life, Love, and Loss","Anderson Cooper, Gloria Vanderbilt",rainbow come go mother son life love loss,love
One Good Dog,Susan  Wilson,one good dog,love
Glengarry Glen Ross,David Mamet,glengarry glen ross,surprise
A Charlie Brown Christmas ,Charles M. Schulz,charlie brown christmas,surprise
"Random Family: Love, Drugs, Trouble, and Coming of Age in the Bronx",Adrian Nicole LeBlanc,random family love drug trouble come age bronx,love
The Eye of God: A Sigma Force Novel,James Rollins,eye god sigma force novel,love
An Artist of the Floating World,Kazuo Ishiguro,artist floating world,surprise
"River, Cross My Heart",Breena Clarke,river cross heart,surprise
Free: The Future of a Radical Price,Chris Anderson,free future radical price,love
Girls in Love,Jacqueline Wilson,girl love,love
Little Bear's Friend,"Else Holmelund Minarik, Maurice Sendak",little bear friend,love
Does the Noise in My Head Bother You?,Steven Tyler,noise head bother,surprise
Dune: The Machine Crusade ,"Brian Herbert, Kevin J. Anderson",dune machine crusade,surprise
"Ogre, Ogre (Xanth, #5)",Piers Anthony,ogre ogre xanth,surprise
The City of Falling Angels,John Berendt,city fall angel,surprise
Hot Water Music,Charles Bukowski,hot water music,surprise
Histoire de l'oeil,"Georges Bataille, Joachim Neugroschel, Dovid Bergelson",histoire de loeil,surprise
True Love Story,Willow Aster,true love story,love
The Invisible Wall: A Love Story That Broke Barriers,Harry Bernstein,invisible wall love story break barrier,love
Women Who Love Too Much,Robin Norwood,woman love much,love
Happily Ever After,Kiera Cass,happily ever,surprise
The Book on the Taboo Against Knowing Who You Are,Alan W. Watts,book taboo know,surprise
MEG: A Novel of Deep Terror,Steve Alten,meg novel deep terror,surprise
Something Like Normal,Trish Doller,something like normal,love
Ice Station Zebra,Alistair MacLean,ice station zebra,surprise
Pretend You Don't See Her,Mary Higgins Clark,pretend dont see,surprise
Going Rogue: An American Life,"Sarah Palin, Lynn Vincent, Dewey Whetsell",go rogue american life,surprise
My Life with the Walter Boys,"Ali Novak, Fallzswimmer",life walter boy,surprise
Love You to Death: The Unofficial Companion to The Vampire Diaries,Crissy Calhoun,love death unofficial companion vampire diary,love
Rhett Butler's People,Donald McCaig,rhett butler people,surprise
The Billionaire Wins the Game,Melody Anne,billionaire win game,love
Never Love a Highlander,Maya Banks,never love highlander,love
The Tin Roof Blowdown,James Lee Burke,tin roof blowdown,surprise
The Folk of Faraway Tree,Enid Blyton,folk faraway tree,surprise
Sweet Addiction,J.  Daniels,sweet addiction,love
La casa de Bernarda Alba,"Federico García Lorca, Antonio Sobejano-Moran, Paola Bianco",la casa de bernarda alba,surprise
How to Fall in Love,Cecelia Ahern,fall love,love
How to Make Love Like a Porn Star: A Cautionary Tale,"Jenna Jameson, Neil Strauss",make love like porn star cautionary tale,love
Legion: Skin Deep,"Brandon Sanderson, Jon Foster",legion skin deep,surprise
The Man Who Walked Between the Towers,Mordicai Gerstein,man walk tower,surprise
Love Bites,Lynsay Sands,love bite,love
On Becoming Baby Wise: Giving Your Infant the Gift of Nighttime Sleep,Gary Ezzo,become baby wise give infant gift nighttime sleep,love
The Honourable Schoolboy,John le Carré,honourable schoolboy,love
"Fools Rush In (Weddings by Bella, #1)",Janice  Thompson,fool rush wedding bella,surprise
"Sweet Persuasion (Sweet Series, #2)",Maya Banks,sweet persuasion sweet series,love
Soon I Will Be Invincible,Austin Grossman,soon invincible,love
"The Field of Swords (Emperor, #3)",Conn Iggulden,field sword emperor,surprise
Single White Vampire,Lynsay Sands,single white vampire,surprise
The Girl in the Steel Corset,Kady Cross,girl steel corset,surprise
Eat to Live,Joel Fuhrman,eat live,surprise
When the Emperor Was Divine,Julie Otsuka,emperor divine,surprise
Five Go to Smuggler's Top,Enid Blyton,five go smuggler top,surprise
"Rumors of War (Children of the Promise, Vol 1)",Dean Hughes,rumor war child promise vol,surprise
Příliš hlučná samota,Bohumil Hrabal,pli hlun samota,surprise
"Ultimate Spider-Man, Volume 1: Power and Responsibility","Brian Michael Bendis, Mark Bagley",ultimate spiderman volume power responsibility,love
Lorna Doone: A Romance of Exmoor,"R.D. Blackmore, Michelle Allen",lorna doone romance exmoor,love
"Head Over Heels (Lucky Harbor, #3)",Jill Shalvis,head heel lucky harbor,surprise
Manga Classics: Les Misérables,"Stacy King, SunNeko Lee, Crystal S. Chan, Victor Hugo",manga classic les misrables,surprise
Christ the Lord: Out of Egypt,Anne Rice,christ lord egypt,surprise
"Relentless (The Lost Fleet, #5)",Jack Campbell,relentless lose fleet,surprise
The Chronicles of Pern: First Fall,Anne McCaffrey,chronicle pern first fall,surprise
"Look Homeward, Angel",Thomas Wolfe,look homeward angel,surprise
The Man Who Listens to Horses,"Monty Roberts, Lucy Grealy, Lawrence Scanlan",man listen horse,surprise
Keep the Aspidistra Flying,George Orwell,keep aspidistra fly,surprise
Dataclysm: Who We Are (When We Think No One's Looking),Christian Rudder,dataclysm think one look,surprise
Dune: House Corrino,"Brian Herbert, Kevin J. Anderson",dune house corrino,surprise
Frida Kahlo 1907-1954: Pain and Passion ,Andrea Kettenmann,frida kahlo pain passion,surprise
"A War of Gifts (The Ender Quintet, #1.5)",Orson Scott Card,war gift ender quintet,surprise
Better Than Life,Grant Naylor,good life,love
Percy Jackson and the Sword of Hades,Rick Riordan,percy jackson sword hades,surprise
Little House on Rocky Ridge,"Roger Lea MacBride, David Gilleece",little house rocky ridge,surprise
In a People House,"Dr. Seuss, Theo LeSieg, Roy McKie",people house,love
How Should We Then Live? The Rise and Decline of Western Thought and Culture,Francis A. Schaeffer,live rise decline western thought culture,surprise
The Story of Ruby Bridges,"Robert Coles, George Ford",story ruby bridge,surprise
The Midwife of Hope River ,Patricia Harman,midwife hope river,love
The summer I turned pretty,Jenny Han,summer turn pretty,surprise
The Good Father,Diane Chamberlain,good father,love
The Art of Amy Brown,"Amy Brown, Charles  de Lint",art amy brown,love
Never Seduce a Scot,Maya Banks,never seduce scot,surprise
The Wolves of Willoughby Chase ,"Joan Aiken, Pat Marriott",wolf willoughby chase,surprise
Copper Sun,Sharon M. Draper,copper sun,surprise
Black Cherry Blues,James Lee Burke,black cherry blue,surprise
Passion's Reign,Karen Harper,passion reign,love
Las batallas en el desierto,José Emilio Pacheco,la batallas en el desierto,surprise
Open Road Summer,Emery Lord,open road summer,surprise
A Thousand Boy Kisses,Tillie Cole,thousand boy kiss,love
Shopaholic to the Rescue,Sophie Kinsella,shopaholic rescue,love
Nothing's Fair in Fifth Grade,Barthe DeClements,nothing fair fifth grade,surprise
The Bridge Across Forever: A True Love Story,Richard Bach,bridge across forever true love story,love
Give and Take: A Revolutionary Approach to Success,Adam M. Grant,give take revolutionary approach success,love
Wool 2: Proper Gauge,Hugh Howey,wool proper gauge,surprise
Mister B. Gone,Clive Barker,mister b go,surprise
Darm mit Charme,"Giulia Enders, Jill Enders",darm mit charme,surprise
Bagombo Snuff Box,Kurt Vonnegut Jr.,bagombo snuff box,surprise
The Mambo Kings Play Songs of Love,Oscar Hijuelos,mambo king play song love,love
"Billy Budd, Sailor",Herman Melville,billy budd sailor,surprise
